# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 17K of event 'cycles:u'
# Event count (approx.): 20686098130
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                                                                       
# ........  .......  ....................  .............................................................................................................................................................................................................................
#
    21.11%  jnext    jnext                 [.] Emulator::run_frame()
     9.72%  jnext    jnext                 [.] Mmu::read(unsigned short)
     6.05%  jnext    jnext                 [.] Z80Cpu::execute()
     5.82%  jnext    jnext                 [.] std::_Function_handler<void (unsigned short), Emulator::init(EmulatorConfig const&, bool)::{lambda(unsigned short)#5}>::_M_invoke(std::_Any_data const&, unsigned short&&)
     5.52%  jnext    jnext                 [.] contend_read
     4.81%  jnext    jnext                 [.] Im2Controller::step_devices()
     4.28%  jnext    jnext                 [.] Tilemap::render_scanline(unsigned int*, bool*, int, Ram const&, PaletteManager const&, bool*) const
     3.84%  jnext    jnext                 [.] Copper::execute(int, int, NextReg&)
     3.70%  jnext    jnext                 [.] Renderer::composite_scanline(unsigned int*, unsigned int, int)
     3.53%  jnext    jnext                 [.] Im2Controller::tick(unsigned int)
     3.33%  jnext    jnext                 [.] Im2Controller::step_pulse()
     2.42%  jnext    jnext                 [.] Im2Controller::on_m1_cycle(unsigned short, unsigned char)
     2.03%  jnext    jnext                 [.] Multiface::on_m1(unsigned short, bool)
     1.92%  jnext    jnext                 [.] VideoTiming::advance(int)
     1.72%  jnext    jnext                 [.] std::_Function_handler<void (unsigned short, unsigned char), Emulator::init(EmulatorConfig const&, bool)::{lambda(unsigned short, unsigned char)#1}>::_M_invoke(std::_Any_data const&, unsigned short&&, unsigned char&&)
     1.35%  jnext    jnext                 [.] DivMmc::check_automap(unsigned short, bool, bool, bool)
     1.27%  jnext    jnext                 [.] fuse_z80_readbyte_raw
     1.19%  jnext    jnext                 [.] Layer2::render_scanline(unsigned int*, int, Ram const&, PaletteManager const&, unsigned char, bool, bool*) const [clone .part.0]
     1.14%  jnext    jnext                 [.] AyChip::update_output()
     1.10%  jnext    jnext                 [.] Ctc::tick(unsigned int)
     1.08%  jnext    jnext                 [.] UartChannel::tick(unsigned int) [clone .part.0]
     1.05%  jnext    jnext                 [.] Scheduler::run_until(unsigned long)
     0.89%  jnext    jnext                 [.] Mixer::accumulate(Beeper const&, TurboSound const&, Dac const&, unsigned int)
     0.79%  jnext    jnext                 [.] Im2Controller::is_im2_mode() const
     0.77%  jnext    jnext                 [.] sync_fuse_from_regs(Z80Registers const&)
     0.76%  jnext    jnext                 [.] TurboSound::tick()
     0.69%  jnext    jnext                 [.] Dma::tick_burst_wait(unsigned long)
     0.68%  jnext    jnext                 [.] TraceLog::enabled() const
     0.58%  jnext    jnext                 [.] NmiSource::observe_m1_fetch(unsigned short, bool, bool)
     0.50%  jnext    jnext                 [.] SpriteEngine::render_scanline(unsigned int*, int, PaletteManager const&) const [clone .part.0]
     0.50%  jnext    jnext                 [.] fuse_z80_execute_one
     0.49%  jnext    jnext                 [.] sync_regs_from_fuse(Z80Registers&)
     0.46%  jnext    jnext                 [.] I2s::pi_audio_R() const
     0.45%  jnext    jnext                 [.] AyChip::tick()
     0.45%  jnext    jnext                 [.] SpriteEngine::render_sprite_scanline(unsigned int*, SpriteEngine::SpriteAttr const&, int, PaletteManager const&, bool*) const
     0.27%  jnext    jnext                 [.] NmiSource::is_activated() const
     0.25%  jnext    jnext                 [.] Clock::tick(int)
     0.25%  jnext    jnext                 [.] I2s::pi_audio_L() const
     0.25%  jnext    jnext                 [.] Renderer::apply_ula_clip(unsigned int*, int) const
     0.23%  jnext    jnext                 [.] DivMmc::on_m1_retn_delay(bool)
     0.22%  jnext    libc.so.6             [.] __memset_avx512_unaligned_erms
     0.21%  jnext    jnext                 [.] PortDispatch::write(unsigned short, unsigned char)
     0.18%  jnext    jnext                 [.] contend_read_no_mreq
     0.17%  jnext    jnext                 [.] Uart::tick(unsigned int)
     0.15%  jnext    jnext                 [.] Ram::read(unsigned int) const
     0.15%  jnext    jnext                 [.] NmiSource::nmi_generate_n() const
     0.13%  jnext    jnext                 [.] NmiSource::tick(unsigned int)
     0.13%  jnext    jnext                 [.] Ula::render_display_line(unsigned int*, int, unsigned short, unsigned short, Mmu&, bool*)
     0.12%  jnext    jnext                 [.] Clock::commit_pending_cpu_speed_on_bus_idle(bool, bool)
     0.11%  jnext    jnext                 [.] Ula::attr_vram_read(unsigned short, bool, Mmu&) const


#
# (Tip: When collecting LBR backtraces use --stitch-lbr to handle more than 32 deep entries: perf record --call-graph lbr ; perf report --stitch-lbr)
#
