# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 6950016433
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                                                                       
# ........  .......  ....................  .............................................................................................................................................................................................................................
#
    16.53%  jnext    jnext                 [.] UartChannel::tick(unsigned int) [clone .part.0]
    12.52%  jnext    jnext                 [.] Ctc::tick(unsigned int)
    10.61%  jnext    jnext                 [.] Renderer::composite_scanline(unsigned int*, unsigned int, int)
     8.43%  jnext    jnext                 [.] Emulator::run_frame()
     5.80%  jnext    jnext                 [.] Z80Cpu::execute()
     4.22%  jnext    jnext                 [.] TurboSound::tick()
     4.03%  jnext    jnext                 [.] AyChip::update_output()
     2.72%  jnext    jnext                 [.] sync_regs_from_fuse(Z80Registers&)
     2.06%  jnext    jnext                 [.] AyChip::tick()
     2.01%  jnext    jnext                 [.] contend_read
     1.91%  jnext    jnext                 [.] std::_Function_handler<void (unsigned short), Emulator::init(EmulatorConfig const&, bool)::{lambda(unsigned short)#5}>::_M_invoke(std::_Any_data const&, unsigned short&&)
     1.74%  jnext    jnext                 [.] Im2Controller::step_pulse()
     1.72%  jnext    jnext                 [.] Im2Controller::tick(unsigned int)
     1.65%  jnext    jnext                 [.] Scheduler::run_until(unsigned long)
     1.61%  jnext    jnext                 [.] Im2Controller::step_devices()
     1.41%  jnext    jnext                 [.] Mixer::accumulate(Beeper const&, TurboSound const&, Dac const&, unsigned int)
     1.34%  jnext    jnext                 [.] Renderer::apply_ula_clip(unsigned int*, int) const
     1.21%  jnext    jnext                 [.] ContentionModel::contention_tick(bool, bool, bool, bool, unsigned short, unsigned short, unsigned short, bool) const
     1.17%  jnext    jnext                 [.] fuse_z80_writebyte
     1.15%  jnext    jnext                 [.] contend_read_no_mreq
     1.02%  jnext    libc.so.6             [.] __memset_avx512_unaligned_erms
     0.97%  jnext    jnext                 [.] Dma::tick_burst_wait(unsigned long)
     0.95%  jnext    jnext                 [.] Mmu::read(unsigned short)
     0.93%  jnext    jnext                 [.] DivMmc::check_automap(unsigned short, bool, bool, bool)
     0.85%  jnext    jnext                 [.] fuse_z80_execute_one
     0.83%  jnext    jnext                 [.] fuse_z80_readbyte
     0.77%  jnext    jnext                 [.] Multiface::on_m1(unsigned short, bool)
     0.60%  jnext    jnext                 [.] DivMmc::on_m1_retn_delay(bool)
     0.60%  jnext    jnext                 [.] Ula::render_display_line(unsigned int*, int, unsigned short, unsigned short, Mmu&, bool*)
     0.53%  jnext    jnext                 [.] fuse_z80_readbyte_raw
     0.53%  jnext    jnext                 [.] Md6ConnectorX2::tick(unsigned int)
     0.51%  jnext    jnext                 [.] I2s::pi_audio_L() const
     0.51%  jnext    jnext                 [.] VideoTiming::advance(int)
     0.49%  jnext    jnext                 [.] Uart::tick(unsigned int)
     0.46%  jnext    jnext                 [.] NmiSource::tick(unsigned int)
     0.44%  jnext    jnext                 [.] std::_Function_handler<void (unsigned short, unsigned char), Emulator::init(EmulatorConfig const&, bool)::{lambda(unsigned short, unsigned char)#1}>::_M_invoke(std::_Any_data const&, unsigned short&&, unsigned char&&)
     0.42%  jnext    jnext                 [.] Ula::attr_vram_read(unsigned short, bool, Mmu&) const
     0.39%  jnext    jnext                 [.] sync_fuse_from_regs(Z80Registers const&)
     0.34%  jnext    jnext                 [.] PortDispatch::read(unsigned short) const
     0.32%  jnext    jnext                 [.] I2s::pi_audio_R() const
     0.25%  jnext    jnext                 [.] AyChip::update_envelope()
     0.22%  jnext    jnext                 [.] NmiSource::nmi_generate_n() const
     0.20%  jnext    jnext                 [.] TzxLoader::is_playing() const
     0.20%  jnext    jnext                 [.] Renderer::render_row(unsigned int*, int, Mmu&, Ram&, PaletteManager&, Layer2&, SpriteEngine*, Tilemap*)
     0.19%  jnext    ld-linux-x86-64.so.2  [.] _dl_lookup_symbol_x
     0.19%  jnext    ld-linux-x86-64.so.2  [.] do_lookup_x
     0.19%  jnext    jnext                 [.] Im2Controller::on_m1_cycle(unsigned short, unsigned char)
     0.17%  jnext    jnext                 [.] Ram::read(unsigned int) const
     0.17%  jnext    jnext                 [.] void spdlog::logger::log_<unsigned short&, unsigned char&>(spdlog::source_loc, spdlog::level::level_enum, fmt::v12::basic_string_view<char>, unsigned short&, unsigned char&)
     0.14%  jnext    jnext                 [.] Mixer::emit_sample()
     0.14%  jnext    jnext                 [.] AttributeMux::record_write(unsigned short, unsigned short, unsigned short, unsigned char)
     0.12%  jnext    jnext                 [.] Im2Controller::is_im2_mode() const
     0.10%  jnext    jnext                 [.] Clock::tick(int)
     0.10%  jnext    jnext                 [.] Clock::commit_pending_cpu_speed_on_bus_idle(bool, bool)
     0.10%  jnext    jnext                 [.] Scheduler::schedule(unsigned long, EventType, std::function<void ()>)


#
# (Tip: When collecting LBR backtraces use --stitch-lbr to handle more than 32 deep entries: perf record --call-graph lbr ; perf report --stitch-lbr)
#
