# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 19K of event 'cycles:u'
# Event count (approx.): 22637694681
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                                                                       
# ........  .......  ....................  .............................................................................................................................................................................................................................
#
    25.55%  jnext    jnext                 [.] Emulator::run_frame()
    10.93%  jnext    jnext                 [.] Mmu::read(unsigned short)
     8.66%  jnext    jnext                 [.] Z80Cpu::execute()
     6.07%  jnext    jnext                 [.] Im2Controller::step_devices()
     5.62%  jnext    jnext                 [.] std::_Function_handler<void (unsigned short), Emulator::init(EmulatorConfig const&, bool)::{lambda(unsigned short)#5}>::_M_invoke(std::_Any_data const&, unsigned short&&)
     4.29%  jnext    jnext                 [.] Copper::execute(int, int, NextReg&)
     3.98%  jnext    jnext                 [.] contend_read
     3.92%  jnext    jnext                 [.] Im2Controller::tick(unsigned int)
     2.62%  jnext    jnext                 [.] Im2Controller::step_pulse()
     2.54%  jnext    jnext                 [.] std::_Function_handler<void (unsigned short, unsigned char), Emulator::init(EmulatorConfig const&, bool)::{lambda(unsigned short, unsigned char)#1}>::_M_invoke(std::_Any_data const&, unsigned short&&, unsigned char&&)
     2.30%  jnext    jnext                 [.] NmiSource::observe_m1_fetch(unsigned short, bool, bool)
     1.87%  jnext    jnext                 [.] Renderer::composite_scanline(unsigned int*, unsigned int, int)
     1.56%  jnext    jnext                 [.] DivMmc::check_automap(unsigned short, bool, bool, bool)
     1.54%  jnext    jnext                 [.] Multiface::on_m1(unsigned short, bool)
     1.28%  jnext    jnext                 [.] Scheduler::run_until(unsigned long)
     1.26%  jnext    jnext                 [.] fuse_z80_execute_one
     1.10%  jnext    jnext                 [.] Mixer::accumulate(Beeper const&, TurboSound const&, Dac const&, unsigned int)
     1.02%  jnext    jnext                 [.] DivMmc::on_m1_retn_delay(bool)
     0.99%  jnext    jnext                 [.] AyChip::update_output()
     0.97%  jnext    jnext                 [.] Ctc::tick(unsigned int)
     0.90%  jnext    jnext                 [.] TurboSound::tick()
     0.77%  jnext    jnext                 [.] UartChannel::tick(unsigned int) [clone .part.0]
     0.75%  jnext    jnext                 [.] Dma::tick_burst_wait(unsigned long)
     0.75%  jnext    jnext                 [.] fuse_z80_readbyte_raw
     0.65%  jnext    jnext                 [.] Layer2::render_scanline(unsigned int*, int, Ram const&, PaletteManager const&, unsigned char, bool, bool*) const [clone .part.0]
     0.62%  jnext    jnext                 [.] Im2Controller::is_im2_mode() const
     0.61%  jnext    jnext                 [.] TraceLog::enabled() const
     0.57%  jnext    jnext                 [.] sync_regs_from_fuse(Z80Registers&)
     0.55%  jnext    jnext                 [.] Clock::tick(int)
     0.54%  jnext    jnext                 [.] sync_fuse_from_regs(Z80Registers const&)
     0.52%  jnext    jnext                 [.] I2s::pi_audio_R() const
     0.49%  jnext    jnext                 [.] SpriteEngine::render_scanline(unsigned int*, int, PaletteManager const&) const [clone .part.0]
     0.39%  jnext    jnext                 [.] Im2Controller::on_m1_cycle(unsigned short, unsigned char)
     0.37%  jnext    jnext                 [.] TzxLoader::is_playing() const
     0.34%  jnext    jnext                 [.] AyChip::tick()
     0.30%  jnext    jnext                 [.] I2s::pi_audio_L() const
     0.25%  jnext    jnext                 [.] Renderer::apply_ula_clip(unsigned int*, int) const
     0.21%  jnext    jnext                 [.] VideoTiming::advance(int)
     0.21%  jnext    libc.so.6             [.] __memset_avx512_unaligned_erms
     0.20%  jnext    jnext                 [.] Uart::tick(unsigned int)
     0.19%  jnext    jnext                 [.] NmiSource::tick(unsigned int)
     0.17%  jnext    jnext                 [.] SpriteEngine::render_sprite_scanline(unsigned int*, SpriteEngine::SpriteAttr const&, int, PaletteManager const&, bool*) const
     0.16%  jnext    jnext                 [.] Ula::render_display_line(unsigned int*, int, unsigned short, unsigned short, Mmu&, bool*)
     0.15%  jnext    jnext                 [.] Md6ConnectorX2::tick(unsigned int)
     0.11%  jnext    jnext                 [.] Ram::read(unsigned int) const
     0.10%  jnext    jnext                 [.] Clock::commit_pending_cpu_speed_on_bus_idle(bool, bool)


#
# (Tip: When collecting LBR backtraces use --stitch-lbr to handle more than 32 deep entries: perf record --call-graph lbr ; perf report --stitch-lbr)
#
