# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles:u'
# Event count (approx.): 14531218154
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                                                                       
# ........  .......  ....................  .............................................................................................................................................................................................................................
#
    10.96%  jnext    jnext                 [.] Emulator::run_frame()
     8.87%  jnext    jnext                 [.] Mmu::read(unsigned short)
     7.91%  jnext    jnext                 [.] contend_read_no_mreq
     7.29%  jnext    jnext                 [.] Z80Cpu::execute()
     6.57%  jnext    jnext                 [.] Ctc::tick(unsigned int)
     6.52%  jnext    jnext                 [.] Im2Controller::tick(unsigned int)
     6.43%  jnext    jnext                 [.] sync_regs_from_fuse(Z80Registers&)
     6.36%  jnext    jnext                 [.] Im2Controller::step_devices()
     4.50%  jnext    jnext                 [.] contend_read
     3.17%  jnext    jnext                 [.] Renderer::composite_scanline(unsigned int*, unsigned int, int)
     3.14%  jnext    jnext                 [.] fuse_z80_execute_one
     2.49%  jnext    jnext                 [.] UartChannel::tick(unsigned int) [clone .part.0]
     2.47%  jnext    jnext                 [.] std::_Function_handler<void (unsigned short), Emulator::init(EmulatorConfig const&, bool)::{lambda(unsigned short)#5}>::_M_invoke(std::_Any_data const&, unsigned short&&)
     2.13%  jnext    jnext                 [.] fuse_z80_readbyte
     1.93%  jnext    jnext                 [.] Im2Controller::step_pulse()
     1.70%  jnext    jnext                 [.] std::_Function_handler<void (unsigned short, unsigned char), Emulator::init(EmulatorConfig const&, bool)::{lambda(unsigned short, unsigned char)#1}>::_M_invoke(std::_Any_data const&, unsigned short&&, unsigned char&&)
     1.66%  jnext    jnext                 [.] Multiface::on_m1(unsigned short, bool)
     1.61%  jnext    jnext                 [.] DivMmc::check_automap(unsigned short, bool, bool, bool)
     1.22%  jnext    jnext                 [.] Dma::tick_burst_wait(unsigned long)
     1.16%  jnext    jnext                 [.] Scheduler::run_until(unsigned long)
     1.02%  jnext    jnext                 [.] fuse_z80_readbyte_raw
     0.98%  jnext    jnext                 [.] VideoTiming::advance(int)
     0.91%  jnext    jnext                 [.] Clock::commit_pending_cpu_speed_on_bus_idle(bool, bool)
     0.72%  jnext    jnext                 [.] Im2Controller::on_m1_cycle(unsigned short, unsigned char)
     0.72%  jnext    jnext                 [.] AyChip::update_output()
     0.68%  jnext    jnext                 [.] ContentionModel::contention_tick(bool, bool, bool, bool, unsigned short, unsigned short, unsigned short, bool) const
     0.68%  jnext    jnext                 [.] Mixer::accumulate(Beeper const&, TurboSound const&, Dac const&, unsigned int)
     0.64%  jnext    jnext                 [.] DivMmc::on_m1_retn_delay(bool)
     0.46%  jnext    jnext                 [.] Renderer::apply_ula_clip(unsigned int*, int) const
     0.45%  jnext    jnext                 [.] TurboSound::tick()
     0.40%  jnext    jnext                 [.] sync_fuse_from_regs(Z80Registers const&)
     0.39%  jnext    jnext                 [.] Im2Controller::is_im2_mode() const
     0.35%  jnext    jnext                 [.] Ula::render_display_line(unsigned int*, int, unsigned short, unsigned short, Mmu&, bool*)
     0.33%  jnext    jnext                 [.] Uart::tick(unsigned int)
     0.29%  jnext    libc.so.6             [.] __memset_avx512_unaligned_erms
     0.28%  jnext    jnext                 [.] TzxLoader::is_playing() const
     0.28%  jnext    jnext                 [.] AyChip::tick()
     0.27%  jnext    jnext                 [.] Clock::tick(int)
     0.25%  jnext    jnext                 [.] I2s::pi_audio_L() const
     0.20%  jnext    jnext                 [.] NmiSource::observe_m1_fetch(unsigned short, bool, bool)
     0.18%  jnext    jnext                 [.] NmiSource::tick(unsigned int)
     0.17%  jnext    jnext                 [.] Md6ConnectorX2::tick(unsigned int)
     0.14%  jnext    jnext                 [.] NmiSource::nmi_generate_n() const
     0.11%  jnext    jnext                 [.] TraceLog::enabled() const
     0.10%  jnext    ld-linux-x86-64.so.2  [.] do_lookup_x
     0.10%  jnext    jnext                 [.] Ula::attr_vram_read(unsigned short, bool, Mmu&) const


#
# (Tip: When collecting LBR backtraces use --stitch-lbr to handle more than 32 deep entries: perf record --call-graph lbr ; perf report --stitch-lbr)
#
